"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CHECK_PRICES";"DESCRIPTION";"MF";"MP";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SNAPEDA_LINK";"SPICEPREFIX";
"1";"";"MOSFET-NREFLOW";"SOT23";"Q2";"N-Channel Mosfet";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"MTA08-100";"10X08MTA";"J3";"AMP connector";"";"";"";"";"";"";"1";"";"";"";"";
"1";"";"SJ2W";"SJ_2";"SJ1";"SMD solder JUMPER";"";"";"";"";"";"";"7";"";"";"";"";
"2";"100";"R-US_R0402";"R0402";"R10, R13";"RESISTOR, American symbol";"";"";"";"";"";"";"34";"";"";"";"R";
"2";"10k";"R-US_R0402";"R0402";"R1, R2";"RESISTOR, American symbol";"";"";"";"";"";"";"34";"";"";"";"R";
"1";"10uf";"C-USC0402";"C0402";"C5";"CAPACITOR, American symbol";"";"";"";"";"";"";"16";"";"";"";"C";
"3";"121";"R-US_R0402";"R0402";"R17, R20, R24";"RESISTOR, American symbol";"";"";"";"";"";"";"34";"";"";"";"R";
"10";"1k";"R-US_R0402";"R0402";"R3, R14, R15, R16, R18, R19, R22, R23, R25, R26";"RESISTOR, American symbol";"";"";"";"";"";"";"34";"";"";"";"R";
"4";"1uf";"C-USC0402";"C0402";"C3, C4, C6, C11";"CAPACITOR, American symbol";"";"";"";"";"";"";"16";"";"";"";"C";
"6";"22pf";"C-USC0402";"C0402";"C1, C2, C7, C8, C9, C10";"CAPACITOR, American symbol";"";"";"";"";"";"";"16";"";"";"";"C";
"1";"AM26LS31CDR";"AM26LS31CDR";"SOIC127P600X175-16N";"U2";"Check availability";"In Stock";"";" Quadruple differential line driver ";"Texas Instruments";"AM26LS31CDR";"SOIC-16 Texas Instruments";"";"None";"https://pricing.snapeda.com/search?q=AM26LS31CDR&ref=eda";"";"";
"1";"AM26LS32ACDR";"AM26LS32ACDR";"SOIC127P600X175-16N";"U1";"Check availability";"In Stock";"";" Quadruple differential line driver ";"Texas Instruments";"AM26LS31CDR";"SOIC-16 Texas Instruments";"";"None";"https://pricing.snapeda.com/search?q=AM26LS31CDR&ref=eda";"";"";
"1";"B6B-PH-K-S(LF)(SN)";"B6B-PH-K-S(LF)(SN)";"JST_B6B-PH-K-S(LF)(SN)";"J5";"Check availability";"In Stock";"https://www.snapeda.com/parts/B6B-PH-K-S(LF)(SN)/JST+Sales+America+Inc./view-part/?ref=eda";" Connector Header Through Hole 6 position 0.079 (2.00mm) ";"JST Sales";"B6B-PH-K-S(LF)(SN)";"None";"";"None";"";"https://www.snapeda.com/parts/B6B-PH-K-S(LF)(SN)/JST+Sales+America+Inc./view-part/?ref=snap";"";
"1";"B8B-PH-K-S(LF)(SN)";"B8B-PH-K-S(LF)(SN)";"JST_B8B-PH-K-S(LF)(SN)";"J6";"PH Series 2 mm Pitch 8 Position Through Hole Top Entry Shrouded Header Check availability";"In Stock";"https://www.snapeda.com/parts/B8B-PH-K-S(LF)(SN)/JST+Sales+America+Inc./view-part/?ref=eda";" Connector Header Through Hole 8 position 0.079 (2.00mm) ";"JST Sales";"B8B-PH-K-S(LF)(SN)";"None";"";"None";"";"https://www.snapeda.com/parts/B8B-PH-K-S(LF)(SN)/JST+Sales+America+Inc./view-part/?ref=snap";"";
"1";"Blue";"LEDCHIPLED_0603";"CHIPLED_0603";"LED3";"LED";"";"";"";"";"";"";"28";"";"";"";"";
"1";"Green";"LEDCHIPLED_0603";"CHIPLED_0603";"LED2";"LED";"";"";"";"";"";"";"28";"";"";"";"";
"1";"Red";"LEDCHIPLED_0603";"CHIPLED_0603";"LED4";"LED";"";"";"";"";"";"";"28";"";"";"";"";
"1";"TS-1088-AR02016";"TS-1088-AR02016";"SMD";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TST-105-XX-X-D";"TST-105-XX-X-D";"TST-105-XX-X-D";"J2";"0.100" TOP SHROUD TERMINAL STRIP. MANUFACTURER: SAMTEC. Check availability";"In Stock";"https://www.snapeda.com/parts/TST-105-03-S-D/Samtec+Inc./view-part/?ref=eda";" Connector Header Through Hole 10 position 0.100 (2.54mm) ";"Samtec";"TST-105-03-S-D";"None";"";"None";"https://pricing.snapeda.com/search?q=TST-105-03-S-D&ref=eda";"https://www.snapeda.com/parts/TST-105-03-S-D/Samtec+Inc./view-part/?ref=snap";"";
"1";"WAS3157BUMT6";"WAS3157BUMT6";"UMT6";"U3";"UMT6  Check availability";"In Stock";"https://www.snapeda.com/parts/UMH3N/Rohm/view-part/?ref=eda";" Pre-Biased Bipolar Transistor (BJT) 2 NPN - Pre-Biased (Dual) 50V 100mA 250MHz 150mW Surface Mount UMT6 ";"Rohm";"UMH3N";"SOT-363 Rohm";"";"None";"";"https://www.snapeda.com/parts/UMH3N/Rohm/view-part/?ref=snap";"";
