C1, 15.85, 5.28, 270.00, 22pf, C0402
C10, 29.26, 5.24, 270.00, 22pf, C0402
C11, 6.75, 14.02, 270.00, 1uf, C0402
C2, 19.06, 5.28, 270.00, 22pf, C0402
C3, 16.03, 14.37, 90.00, 1uf, C0402
C4, 16.04, 23.73, 90.00, 1uf, C0402
C5, 12.41, 4.31, 0.00, 10uf, C0402
C6, 7.56, 10.82, 0.00, 1uf, C0402
C7, 20.95, 5.25, 270.00, 22pf, C0402
C8, 24.16, 5.25, 270.00, 22pf, C0402
C9, 25.99, 5.24, 270.00, 22pf, C0402
LED2, 10.16, 19.05, 0.00, Green, CHIPLED_0603
LED3, 8.89, 19.05, 0.00, Blue, CHIPLED_0603
LED4, 7.62, 19.05, 0.00, Red, CHIPLED_0603
Q2, 30.25, 21.39, 180.00, , SOT23
R1, 16.05, 11.46, 270.00, 10k, R0402
R10, 7.09, 11.91, 180.00, 100, R0402
R13, 9.15, 11.90, 180.00, 100, R0402
R14, 10.16, 21.59, 270.00, 1k, R0402
R15, 8.89, 21.59, 270.00, 1k, R0402
R16, 7.62, 21.59, 270.00, 1k, R0402
R17, 17.45, 4.22, 180.00, 121, R0402
R18, 17.95, 5.75, 270.00, 1k, R0402
R19, 16.95, 5.75, 270.00, 1k, R0402
R2, 16.03, 20.32, 270.00, 10k, R0402
R20, 22.54, 4.19, 0.00, 121, R0402
R22, 22.04, 5.73, 90.00, 1k, R0402
R23, 23.05, 5.73, 90.00, 1k, R0402
R24, 27.61, 4.18, 180.00, 121, R0402
R25, 27.11, 5.72, 270.00, 1k, R0402
R26, 28.11, 5.72, 270.00, 1k, R0402
R3, 30.27, 24.11, 0.00, 1k, R0402
SJ1, 32.62, 16.88, 90.00, , SJ_2
U$1, 29.84, 28.83, 90.00, TS-1088-AR02016, SMD
U1, 21.97, 11.24, 90.00, AM26LS32ACDR, SOIC127P600X175-16N
U2, 21.96, 20.59, 90.00, AM26LS31CDR, SOIC127P600X175-16N
U3, 8.73, 15.26, 180.00, WAS3157BUMT6, UMT6
